OrderID:PaymentID:User:Address:StaffAssign:Status:Feedback:
L1:P1:JunKit:47,jalan lapan:BinJie:Delivering:-:
L2:P2:JunKit:40,jalan sama:PendingAssign:PendingAssign:-:
L3:P3:JunKit:28,jalan sembilan:JunKit:Delivering:-:
L4:P4:JunKit:90,jalan cempaka:PendingAssign:PendingAssign:-:
L5:P5:Kenny:28,jalan simpati:JunKit:Delivering:-:
L6:P6:JunKit:86,jalan knnn:PendingAssign:PendingAssign:-:
L7:P7:Kenny:98,jalan simpat:PendingAssign:PendingAssign:-:
L8:P8:Kenny:29, jalan ape:PendingAssign:PendingAssign:-:
L10:P10:Kelvin:NoJohor:PendingAssign:PendingAssign:-:
L11:P11:JunKit:78, jalan the rainz:PendingAssign:PendingAssign:-:
L12:P12:JunKit:96,jalan maluri:PendingAssign:PendingAssign:-:
L13:P13:JunKit:69, jalan dangin:PendingAssign:PendingAssign:-:
L14:P14:JunKit:58,jalan kinjang:PendingAssign:PendingAssign:-:
L15:P15:ChiJian:28,jalan marvelous:PendingAssign:PendingAssign:-:
